instance,out_box,in_box,Total_num
1,"white_3D_cuboid, white_3D_cylinder, transparent_3D_cylinder, white_2D_loop",,4
2,"white_3D_cylinder, transparent_3D_cuboid, white_2D_loop",,3
3,"white_3D_cylinder, transparent_3D_cuboid, white_2D_loop",,3
4,"white_3D_cylinder, white_3D_cuboid, transparent_3D_cylinder, white_2D_loop",,4
5,"white_3D_cuboid, white_3D_cylinder, transparent_3D_cylinder, white_2D_loop",,4
6,"white_3D_cylinder, white_3D_cuboid, transparent_3D_cylinder, white_2D_loop",,4
7,"white_3D_cuboid, white_3D_cylinder, transparent_3D_cylinder, white_2D_loop",,4
8,"white_3D_cylinder, transparent_3D_cuboid, white_2D_loop",,3
9,"white_3D_cuboid, white_3D_cylinder, transparent_3D_cylinder, white_2D_loop",,4
10,"white_3D_cylinder, transparent_3D_cuboid, white_2D_loop",,3
